A1,A2,t
6.029845012592288797e-05,7.834475932089270123e-02,3.900000000000000355e+00
4.997059712664849915e-05,7.779061016437925635e-02,4.000000000000000000e+00
4.124514952003054157e-05,7.723886500597108851e-02,4.100000000000000533e+00
3.397785993140240248e-05,7.668964447324162770e-02,4.200000000000000178e+00
2.800596774248822991e-05,7.614308865148312899e-02,4.299999999999999822e+00
2.315366727037871181e-05,7.559935139229953527e-02,4.400000000000000355e+00
1.923212542040649741e-05,7.505860029525535104e-02,4.500000000000000000e+00
1.603948168614593295e-05,7.452101670787557308e-02,4.600000000000000533e+00
1.336084814941335304e-05,7.398679572564577367e-02,4.700000000000000178e+00
1.102342215982984052e-05,7.345608889818365517e-02,4.800000000000000711e+00
9.034920646582144809e-06,7.292886032972013821e-02,4.900000000000000355e+00
7.385681954082133230e-06,7.240509240011853975e-02,5.000000000000000000e+00
6.052735357786832535e-06,7.188478151852710496e-02,5.100000000000000533e+00
5.002254804924991641e-06,7.136793557227519291e-02,5.200000000000000178e+00
4.189558914497027413e-06,7.085457392687320721e-02,5.300000000000000711e+00
3.559110977275074640e-06,7.034472742601267925e-02,5.400000000000000355e+00
3.044518955802948769e-06,6.983843839156619882e-02,5.500000000000000000e+00
2.568535484396158606e-06,6.933576062358744185e-02,5.600000000000000533e+00
2.101308868608257414e-06,6.883669883552734348e-02,5.700000000000000178e+00
1.684537825970723494e-06,6.834118356554932938e-02,5.800000000000000711e+00
1.330096761695941310e-06,6.784917655676006576e-02,5.900000000000000355e+00
1.044716320263257462e-06,6.736064507923752998e-02,6.000000000000000000e+00
8.300104150143729602e-07,6.687556190192291139e-02,6.100000000000000533e+00
6.824762281533455570e-07,6.639390529262061136e-02,6.200000000000000178e+00
5.934942107465802143e-07,6.591565901799822935e-02,6.300000000000000711e+00
5.493280827228358814e-07,6.544081234358656296e-02,6.400000000000000355e+00
5.311248328732229536e-07,6.496936003377964952e-02,6.500000000000000000e+00
5.149147188512060253e-07,6.450130235183468286e-02,6.600000000000000533e+00
4.716112671725996548e-07,6.403664505987213817e-02,6.700000000000000178e+00
3.843917084160503726e-07,6.357538133428322635e-02,6.800000000000000711e+00
2.862409710168912955e-07,6.311745274259562832e-02,6.900000000000000355e+00
1.896295762947001085e-07,6.266282240533879722e-02,7.000000000000000000e+00
1.031632465496489979e-07,6.221145762640239302e-02,7.100000000000000533e+00
3.337523867205148722e-08,6.176332802696044705e-02,7.200000000000000178e+00
-1.527365585764317397e-08,6.131840554547136890e-02,7.300000000000000711e+00
-4.039511096884445172e-08,6.087666443767799501e-02,7.400000000000000355e+00
-4.167326600082539796e-08,6.043808127660749846e-02,7.500000000000000000e+00
-2.086472570271820364e-08,6.000263495257147223e-02,7.600000000000000533e+00
1.820143976648241318e-08,5.957030667316588757e-02,7.700000000000000178e+00
6.962369483792058370e-08,5.914107996327110095e-02,7.800000000000000711e+00
1.254280385328798708e-07,5.871494066505186793e-02,7.900000000000000355e+00
1.755680044627805160e-07,5.829187693795730846e-02,8.000000000000000000e+00
2.079246608291870631e-07,5.787187925872094851e-02,8.099999999999999645e+00
2.083066104237932699e-07,5.745494042136069235e-02,8.200000000000001066e+00
1.688317762594188955e-07,5.704104680341529759e-02,8.300000000000000711e+00
1.118343017130554438e-07,5.663015350689126759e-02,8.400000000000000355e+00
4.802776279850197805e-08,5.622222794791845862e-02,8.500000000000000000e+00
-1.482057510883911906e-08,5.581724075566853183e-02,8.599999999999999645e+00
-7.034506139806919035e-08,5.541516416058075989e-02,8.700000000000001066e+00
-1.135816602227893868e-07,5.501597199436207564e-02,8.800000000000000711e+00
-1.409679505011067556e-07,5.461963968998700958e-02,8.900000000000000355e+00
-1.503431259156298196e-07,5.422614428169773848e-02,9.000000000000000000e+00
-1.409479949134704304e-07,5.383546440500403679e-02,9.099999999999999645e+00
-1.134249807062422858e-07,5.344758029668333910e-02,9.200000000000001066e+00
-6.981812127006278269e-08,5.306247379478068460e-02,9.300000000000000711e+00
-1.357306934555179981e-08,5.268012833860874489e-02,9.400000000000000355e+00
5.046290756216748215e-08,5.230052896874782392e-02,9.500000000000000000e+00
1.160409271834722993e-07,5.192366232704583029e-02,9.600000000000001421e+00
1.755104924842314240e-07,5.154951665661833965e-02,9.700000000000001066e+00
2.198194916658139793e-07,5.117808180184850453e-02,9.800000000000000711e+00
2.385141981650873743e-07,5.080934920838714453e-02,9.900000000000000355e+00
2.197392706544172115e-07,5.044331192315268386e-02,1.000000000000000000e+01
4.222222222222221655e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.490628140365468202e-01,7.288720266054204977e-02,1.000000000000000056e-01
2.885637590418052567e-01,1.326367409974308909e-01,2.000000000000000111e-01
2.385346431829961367e-01,1.815253876990182702e-01,3.000000000000000444e-01
1.972198651630669985e-01,2.213779284980180173e-01,4.000000000000000222e-01
1.630814786855444010e-01,2.537928977830975485e-01,5.000000000000000000e-01
1.348047330874918570e-01,2.801368191037436617e-01,6.000000000000000888e-01
1.114138044367962849e-01,3.014239026193418214e-01,7.000000000000000666e-01
9.211592070982600744e-02,3.184780770636048697e-01,8.000000000000000444e-01
7.619418303873330689e-02,3.320444021086403352e-01,9.000000000000000222e-01
6.300816869524082653e-02,3.427884415621464953e-01,1.000000000000000000e+00
5.206942806556712211e-02,3.512177842073646028e-01,1.100000000000000089e+00
4.303407749219716194e-02,3.576897435507037648e-01,1.200000000000000178e+00
3.558868953430159576e-02,3.625299749423816498e-01,1.300000000000000044e+00
2.944640639977642860e-02,3.660365156596478431e-01,1.400000000000000133e+00
2.434986450838225180e-02,3.684767448206032747e-01,1.500000000000000000e+00
2.012127440484743832e-02,3.700353252765526402e-01,1.600000000000000089e+00
1.663023594920648440e-02,3.708476597414577802e-01,1.700000000000000178e+00
1.375437562693877618e-02,3.710408083068251206e-01,1.800000000000000044e+00
1.138141189096756982e-02,3.707313415133146051e-01,1.900000000000000133e+00
9.410994140526941429e-03,3.700234287297965441e-01,2.000000000000000000e+00
7.776480237780254365e-03,3.689862004055110001e-01,2.100000000000000089e+00
6.427394564728041576e-03,3.676719829289457064e-01,2.200000000000000178e+00
5.316184922552418847e-03,3.661300648141541103e-01,2.300000000000000266e+00
4.399170301352256507e-03,3.644057114904711292e-01,2.400000000000000355e+00
3.637420989552979204e-03,3.625392504267952454e-01,2.500000000000000000e+00
3.005570841755788713e-03,3.605569107685303032e-01,2.600000000000000089e+00
2.484135430383461671e-03,3.584788086213139269e-01,2.700000000000000178e+00
2.054725966816506495e-03,3.563239221584567074e-01,2.800000000000000266e+00
1.700405493307455967e-03,3.541097213566263835e-01,2.900000000000000355e+00
1.406009110155465426e-03,3.518518351181134096e-01,3.000000000000000000e+00
1.161696945925768526e-03,3.495603579508446135e-01,3.100000000000000089e+00
9.600710877292131665e-04,3.472428469203659995e-01,3.200000000000000178e+00
7.941003018833407570e-04,3.449064788787873925e-01,3.300000000000000266e+00
6.572629178330435459e-04,3.425579019339234366e-01,3.400000000000000355e+00
5.436015139035189165e-04,3.402031786026474269e-01,3.500000000000000000e+00
4.490915720619894540e-04,3.378463630864789735e-01,3.600000000000000089e+00
3.710362155150829827e-04,3.354901304473925649e-01,3.700000000000000178e+00
3.068287948165833012e-04,3.331370628728954619e-01,3.800000000000000266e+00
2.540120753106343224e-04,3.307895881448403852e-01,3.900000000000000355e+00
2.102782371317403454e-04,3.284499796394254600e-01,4.000000000000000000e+00
1.737407428405391080e-04,3.261200737139758887e-01,4.100000000000000533e+00
1.434426261143816950e-04,3.238007413452285155e-01,4.200000000000000178e+00
1.185037988419549609e-04,3.214927744917672192e-01,4.299999999999999822e+00
9.806429474835402142e-05,3.191969450694925325e-01,4.400000000000000355e+00
8.128659052458373467e-05,3.169140025386318893e-01,4.500000000000000000e+00
6.735560582755729117e-05,3.146446739037399576e-01,4.600000000000000533e+00
5.562267436449277243e-05,3.123895140452623842e-01,4.700000000000000178e+00
4.585421089730198728e-05,3.101486472411382200e-01,4.800000000000000711e+00
3.781849274868170403e-05,3.079221966979517888e-01,4.900000000000000355e+00
3.127152334990823641e-05,3.057102992144080100e-01,5.000000000000000000e+00
2.595803672882740861e-05,3.035131041369599769e-01,5.100000000000000533e+00
2.161149750985467049e-05,3.013307733598091787e-01,5.200000000000000178e+00
1.795410091397478585e-05,2.991634813249053337e-01,5.300000000000000711e+00
1.479937609261547046e-05,2.970113083446033198e-01,5.400000000000000355e+00
1.214428973533600829e-05,2.948741448916606389e-01,5.500000000000000000e+00
9.957076430045843304e-06,2.927519121366152222e-01,5.600000000000000533e+00
8.193790089548916476e-06,2.906445446990572057e-01,5.700000000000000178e+00
6.798368562092308896e-06,2.885519905804353469e-01,5.800000000000000711e+00
5.702633631366345099e-06,2.864742111640573019e-01,5.900000000000000355e+00
4.826291016504510062e-06,2.844111812150892371e-01,6.000000000000000000e+00
4.076930372083503411e-06,2.823628888805562731e-01,6.100000000000000533e+00
3.370673049371031919e-06,2.803293142089058887e-01,6.200000000000000178e+00
2.737541509475045044e-06,2.783103196027517656e-01,6.300000000000000711e+00
2.196600275482694120e-06,2.763057797079809252e-01,6.400000000000000355e+00
1.754379295319577538e-06,2.743155829441517590e-01,6.500000000000000000e+00
1.411140827626422691e-06,2.723396249793955115e-01,6.600000000000000533e+00
1.160879441759090215e-06,2.703778087304161692e-01,6.700000000000000178e+00
9.913220177885549273e-07,2.684300443624901833e-01,6.800000000000000711e+00
8.839277465009278511e-07,2.664962492894669688e-01,6.900000000000000355e+00
8.138881293974358858e-07,2.645763481737685163e-01,7.000000000000000000e+00
7.501269786944336658e-07,2.626702729263895586e-01,7.100000000000000533e+00
6.553004173234048311e-07,2.607779627068974593e-01,7.200000000000000178e+00
5.263128770992743391e-07,2.588993217044036066e-01,7.300000000000000711e+00
3.968479634787425247e-07,2.570342166707357823e-01,7.400000000000000355e+00
2.775801926056879916e-07,2.551825390958832873e-01,7.500000000000000000e+00
1.767010773225173535e-07,2.533441837191232060e-01,7.600000000000000533e+00
9.991944455771180304e-08,2.515190485286887823e-01,7.700000000000000178e+00
5.046143532582081254e-08,2.497070347617696140e-01,7.800000000000000711e+00
2.907050472746758639e-08,2.479080469045115698e-01,7.900000000000000355e+00
3.400742194934535542e-08,2.461219926920168444e-01,8.000000000000000000e+00
6.105027026422044740e-08,2.443487831083439310e-01,8.099999999999999645e+00
1.034944470309303812e-07,2.425883323865075658e-01,8.200000000000001066e+00
1.521526636943818551e-07,2.408405580084789499e-01,8.300000000000000711e+00
1.953549457855579465e-07,2.391053807051854163e-01,8.400000000000000355e+00
2.189486329215090065e-07,2.373827244565106798e-01,8.500000000000000000e+00
2.062983788053585360e-07,2.356725164912947257e-01,8.599999999999999645e+00
1.661482424091550210e-07,2.339746582512970685e-01,8.700000000000001066e+00
1.258450158466650978e-07,2.322890325427745817e-01,8.800000000000000711e+00
8.871093101167026832e-08,2.306155478764920774e-01,8.900000000000000355e+00
5.726700519460081434e-08,2.289541142001396967e-01,9.000000000000000000e+00
3.326823324376131407e-08,2.273046428616194992e-01,9.099999999999999645e+00
1.770358756533072157e-08,2.256670466090454907e-01,9.200000000000001066e+00
1.079601812336317411e-08,2.240412395907438181e-01,9.300000000000000711e+00
1.200245243978623188e-08,2.224271373552523801e-01,9.400000000000000355e+00
2.001379559440225450e-08,2.208246568513211605e-01,9.500000000000000000e+00
3.275493022488845386e-08,2.192337164279120620e-01,9.600000000000001421e+00
4.738471652679570308e-08,2.176542358341990724e-01,9.700000000000001066e+00
6.029599225354962168e-08,2.160861362195679591e-01,9.800000000000000711e+00
6.711557271645068152e-08,2.145293401336166306e-01,9.900000000000000355e+00
6.270425078467341269e-08,2.129837715261548303e-01,1.000000000000000000e+01
7.444444444444443532e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.154491643667635570e-01,1.285154845916461341e-01,1.000000000000000056e-01
5.087654277186497431e-01,2.338782718692273832e-01,2.000000000000000111e-01
4.206179666981553211e-01,3.200124657570222464e-01,3.000000000000000444e-01
3.477811472375962887e-01,3.902708276377963581e-01,4.000000000000000222e-01
2.874892258102866860e-01,4.475280644493060955e-01,5.000000000000000000e-01
2.376131928411868988e-01,4.939969998431846809e-01,6.000000000000000888e-01
1.964545367735974490e-01,5.314429565500508046e-01,7.000000000000000666e-01
1.624874194854683818e-01,5.614517651663375464e-01,8.000000000000000444e-01
1.343572586090715226e-01,5.854312378318066168e-01,9.000000000000000222e-01
1.110318853165543074e-01,6.044540396042196173e-01,1.000000000000000000e+00
9.176925090712084732e-02,6.192912574844527951e-01,1.100000000000000089e+00
7.589520882963617099e-02,6.306433960988455656e-01,1.200000000000000178e+00
6.279429719957888012e-02,6.391499592690901288e-01,1.300000000000000044e+00
5.191990813759083528e-02,6.453788789758022615e-01,1.400000000000000133e+00
4.290317033055701668e-02,6.497133318574425109e-01,1.500000000000000000e+00
3.546162016986677268e-02,6.524466756149145397e-01,1.600000000000000089e+00
2.933133501220634015e-02,6.538529964851010901e-01,1.700000000000000178e+00
2.427050716409179937e-02,6.541833940768304601e-01,1.800000000000000044e+00
2.006606302419496404e-02,6.536591007649313889e-01,1.900000000000000133e+00
1.658095963903685049e-02,6.524223168825233898e-01,2.000000000000000000e+00
1.370549090601196930e-02,6.505868279446207492e-01,2.100000000000000089e+00
1.133690595963172780e-02,6.482591913066856337e-01,2.200000000000000178e+00
9.380997067911817089e-03,6.455370855421196374e-01,2.300000000000000266e+00
7.755427895702860473e-03,6.425058507065856128e-01,2.400000000000000355e+00
6.408352686492937988e-03,6.392191336800362444e-01,2.500000000000000000e+00
5.297135699022605115e-03,6.357210093141476559e-01,2.600000000000000089e+00
4.381882547114235998e-03,6.320527045694319668e-01,2.700000000000000178e+00
3.625976657876576505e-03,6.282520408642766618e-01,2.800000000000000266e+00
2.997548113685880207e-03,6.243519072086028965e-01,2.900000000000000355e+00
2.476804754783666976e-03,6.203726395122934889e-01,3.000000000000000000e+00
2.047299894027690675e-03,6.163310977890492648e-01,3.100000000000000089e+00
1.693619282820031441e-03,6.122430705187220656e-01,3.200000000000000178e+00
1.401569445858300011e-03,6.081230788712604918e-01,3.300000000000000266e+00
1.158694873239164615e-03,6.039838390812057867e-01,3.400000000000000355e+00
9.573195838557058482e-04,5.998331007344850363e-01,3.500000000000000000e+00
7.912260006085960898e-04,5.956770990715322123e-01,3.600000000000000089e+00
6.545326758862478897e-04,5.915217215518852045e-01,3.700000000000000178e+00
5.417784242505261239e-04,5.873724203956725010e-01,3.800000000000000266e+00
4.480155778081256856e-04,5.832341156421820827e-01,3.900000000000000355e+00
3.700894484580207052e-04,5.791098651375803374e-01,4.000000000000000000e+00
3.057667781694489760e-04,5.750017705176921901e-01,4.100000000000000533e+00
2.528816481825946140e-04,5.709118649873951012e-01,4.200000000000000178e+00
2.093846584474560232e-04,5.668420621916665514e-01,4.299999999999999822e+00
1.733429276238480097e-04,5.627941562155839295e-01,4.400000000000000355e+00
1.432059399590709275e-04,5.587695452231951077e-01,4.500000000000000000e+00
1.182133609957520642e-04,5.547688075446159939e-01,4.600000000000000533e+00
9.764959964976362736e-05,5.507924765343261697e-01,4.700000000000000178e+00
8.081039134647624198e-05,5.468410752692871579e-01,4.800000000000000711e+00
6.700380038125380920e-05,5.429151155068414614e-01,4.900000000000000355e+00
5.555021991945224575e-05,5.390150976847127851e-01,5.000000000000000000e+00
4.588209390987375906e-05,5.351414072438971381e-01,5.100000000000000533e+00
3.781068810461350976e-05,5.312940373314981590e-01,5.200000000000000178e+00
3.116265326540633950e-05,5.274729665941603196e-01,5.300000000000000711e+00
2.574900089629667514e-05,5.236781913617959416e-01,5.400000000000000355e+00
2.136802590225453293e-05,5.199097226080829914e-01,5.500000000000000000e+00
1.780530658917566075e-05,5.161675859504650798e-01,5.600000000000000533e+00
1.483370466388163979e-05,5.124518216501520174e-01,5.700000000000000178e+00
1.225259892564959849e-05,5.087624438078587330e-01,5.800000000000000711e+00
1.005259062099134827e-05,5.050992691512852240e-01,5.900000000000000355e+00
8.224313724018088805e-06,5.014621158409823254e-01,6.000000000000000000e+00
6.742020153339897105e-06,4.978508204170918883e-01,6.100000000000000533e+00
5.568775763403015957e-06,4.942652323911614909e-01,6.200000000000000178e+00
4.656460344489779383e-06,4.907052142461436617e-01,6.300000000000000711e+00
3.945767622718704125e-06,4.871706414363967119e-01,6.400000000000000355e+00
3.366205260044402396e-06,4.836614023876841251e-01,6.500000000000000000e+00
2.836094854257640329e-06,4.801773984971747788e-01,6.600000000000000533e+00
2.321921286583534638e-06,4.767184823557187867e-01,6.700000000000000178e+00
1.865530707916578879e-06,4.732844296067767464e-01,6.800000000000000711e+00
1.478600261438743703e-06,4.698750486528198156e-01,6.900000000000000355e+00
1.167382522603782824e-06,4.664901547828703143e-01,7.000000000000000000e+00
9.327418876065740469e-07,4.631295701345815030e-01,7.100000000000000533e+00
7.701545733831224413e-07,4.597931236942374711e-01,7.200000000000000178e+00
6.697086176105506049e-07,4.564806512967530261e-01,7.300000000000000711e+00
6.161038787071050134e-07,4.531919956256739712e-01,7.400000000000000355e+00
5.886520358321536923e-07,4.499270062131769388e-01,7.500000000000000000e+00
5.612765888861876987e-07,4.466855394400692236e-01,7.600000000000000533e+00
5.025128585108190038e-07,4.434674585357892274e-01,7.700000000000000178e+00
4.038899817423709451e-07,4.402726039064276953e-01,7.800000000000000711e+00
2.989222599760759498e-07,4.371007735927877058e-01,7.900000000000000355e+00
1.983709365241440964e-07,4.339517907805594543e-01,8.000000000000000000e+00
1.105327032028545267e-07,4.308254823515314524e-01,8.099999999999999645e+00
4.154454587885566703e-08,4.277216785637953933e-01,8.200000000000001066e+00
-4.616255530830272286e-09,4.246402130517464291e-01,8.300000000000000711e+00
-2.613212705881439059e-08,4.215809228260829489e-01,8.400000000000000355e+00
-2.334520068733590888e-08,4.185436482738064679e-01,8.500000000000000000e+00
1.242685651736506707e-09,4.155282331582220712e-01,8.599999999999999645e+00
4.296998807690506252e-08,4.125345246189378035e-01,8.700000000000001066e+00
9.501545675704050807e-08,4.095623731718653904e-01,8.800000000000000711e+00
1.483981359113851536e-07,4.066116327092194616e-01,8.900000000000000355e+00
1.919773638095528170e-07,4.036821604995181056e-01,9.000000000000000000e+00
2.124527727715263889e-07,4.007738171875828148e-01,9.099999999999999645e+00
1.946491195581641857e-07,3.978864664985493627e-01,9.200000000000001066e+00
1.604080378300878328e-07,3.950199348222007689e-01,9.300000000000000711e+00
1.317474781618961951e-07,3.921740494657556808e-01,9.400000000000000355e+00
1.082185858623483894e-07,3.893486621380924384e-01,9.500000000000000000e+00
8.925897867329958614e-08,3.865436257153612720e-01,9.600000000000001421e+00
7.419274676970208152e-08,3.837587942409843578e-01,9.700000000000001066e+00
6.223045275960344443e-08,3.809940229256557620e-01,9.800000000000000711e+00
5.246913168414797244e-08,3.782491681473413303e-01,9.900000000000000355e+00
4.389229101757604318e-08,3.755240874512789651e-01,1.000000000000000000e+01
1.066666666666666652e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.818271089029618981e-01,1.841525043505519710e-01,1.000000000000000056e-01
7.289914769472575218e-01,3.350944591431602726e-01,2.000000000000000111e-01
6.027106819652241487e-01,4.584897810829315357e-01,3.000000000000000444e-01
4.983042355222372932e-01,5.592034292452195965e-01,4.000000000000000222e-01
4.118659636518251510e-01,6.412954652835815006e-01,5.000000000000000000e-01
3.404554316755441512e-01,7.078220672102895072e-01,6.000000000000000888e-01
2.815386454021585050e-01,7.614169207994840871e-01,7.000000000000000666e-01
2.328502708765795570e-01,8.044344422290143903e-01,8.000000000000000444e-01
1.924660663310140962e-01,8.388744850117360041e-01,9.000000000000000222e-01
1.590530502786828837e-01,8.661222900998449825e-01,1.000000000000000000e+00
1.314987829214977477e-01,8.873338480626739022e-01,1.100000000000000089e+00
1.087844144888552023e-01,9.035678653728074217e-01,1.200000000000000178e+00
8.998530899890382073e-02,9.157851160051219130e-01,1.300000000000000044e+00
7.436806897948664008e-02,9.247475841628191029e-01,1.400000000000000133e+00
6.145669041444647152e-02,9.309496961723855435e-01,1.500000000000000000e+00
5.081556532479513527e-02,9.348438893841607422e-01,1.600000000000000089e+00
4.204436721913467484e-02,9.368459287188688478e-01,1.700000000000000178e+00
3.477834309258572704e-02,9.373346031343328111e-01,1.800000000000000044e+00
2.874105785502263297e-02,9.365968977429294240e-01,1.900000000000000133e+00
2.375156834873062492e-02,9.348205364206229051e-01,2.000000000000000000e+00
1.964021021408111564e-02,9.321815213541803091e-01,2.100000000000000089e+00
1.625096944068304960e-02,9.288416677884400174e-01,2.200000000000000178e+00
1.344179215797878385e-02,9.249482819982843829e-01,2.300000000000000266e+00
1.110802933085085903e-02,9.206097904968711942e-01,2.400000000000000355e+00
9.179785178167724699e-03,9.158984963611204178e-01,2.500000000000000000e+00
7.591121348784479750e-03,9.108825914495627396e-01,2.600000000000000089e+00
6.281374083176514446e-03,9.056247871926456083e-01,2.700000000000000178e+00
5.195353768756914674e-03,9.001821071540803132e-01,2.800000000000000266e+00
4.293198566421999388e-03,8.945956441642444190e-01,2.900000000000000355e+00
3.547925312890650839e-03,8.888931061637228570e-01,3.000000000000000000e+00
2.934000940731192573e-03,8.831006961586068682e-01,3.100000000000000089e+00
2.427893759953372779e-03,8.772425391462207456e-01,3.200000000000000178e+00
2.008155036039898245e-03,8.713405973138917959e-01,3.300000000000000266e+00
1.659375187803959926e-03,8.654105575530077754e-01,3.400000000000000355e+00
1.371238297024865525e-03,8.594628143039141355e-01,3.500000000000000000e+00
1.133945809267178362e-03,8.535072265611122200e-01,3.600000000000000089e+00
9.384222133661634501e-04,8.475529040524539814e-01,3.700000000000000178e+00
7.763248411809681995e-04,8.416081970519899702e-01,3.800000000000000266e+00
6.414585182346116063e-04,8.356792258327873091e-01,3.900000000000000355e+00
5.299702995279312627e-04,8.297696782515552316e-01,4.000000000000000000e+00
4.381886023660258199e-04,8.238830559133966114e-01,4.100000000000000533e+00
3.626714194428258607e-04,8.180226240301196050e-01,4.200000000000000178e+00
3.002063188410876654e-04,8.121914114202372081e-01,4.299999999999999822e+00
2.480910760964000488e-04,8.063919187792991661e-01,4.400000000000000355e+00
2.048759289356103788e-04,8.006253471092409368e-01,4.500000000000000000e+00
1.692816491900622972e-04,7.948927223611262916e-01,4.600000000000000533e+00
1.400706813383830439e-04,7.891950293294195395e-01,4.700000000000000178e+00
1.160542959806521888e-04,7.835332042149024678e-01,4.800000000000000711e+00
9.609273289993969908e-05,7.779081344759192218e-01,4.900000000000000355e+00
7.934743969786833644e-05,7.723203965981305652e-01,5.000000000000000000e+00
6.545335468352134797e-05,7.667700770450620595e-01,5.100000000000000533e+00
5.403773721747630608e-05,7.612572723779114092e-01,5.200000000000000178e+00
4.472188507733245653e-05,7.557820874201305328e-01,5.300000000000000711e+00
3.712113445771162643e-05,7.503446352574261180e-01,5.400000000000000355e+00
3.084485997025758052e-05,7.449450372377589558e-01,5.500000000000000000e+00
2.551756193006805574e-05,7.395834010400861303e-01,5.600000000000000533e+00
2.100917508542970711e-05,7.342595812362205931e-01,5.700000000000000178e+00
1.726779874837461407e-05,7.289733532587021614e-01,5.800000000000000711e+00
1.421637679403551128e-05,7.237245206678722953e-01,5.900000000000000355e+00
1.176447854922978202e-05,7.185129028847845323e-01,6.000000000000000000e+00
9.808298792459536159e-06,7.133383351912055970e-01,6.100000000000000533e+00
8.230657753911701569e-06,7.082006687296147351e-01,6.200000000000000178e+00
6.901001115457878479e-06,7.030997705032038247e-01,6.300000000000000711e+00
5.701968116649999279e-06,6.980354957221703849e-01,6.400000000000000355e+00
4.654950021336784720e-06,6.930075572663618733e-01,6.500000000000000000e+00
3.773573323994943182e-06,6.880156781572543956e-01,6.600000000000000533e+00
3.057463818814010298e-06,6.830595978212836705e-01,6.700000000000000178e+00
2.498126992708724680e-06,6.781390659593625747e-01,6.800000000000000711e+00
2.078948025319077894e-06,6.732538425468816978e-01,6.900000000000000355e+00
1.775191789010275496e-06,6.684036978337088986e-01,7.000000000000000000e+00
1.554002848872755670e-06,6.635884123441894156e-01,7.100000000000000533e+00
1.374405462722198541e-06,6.588077768771463116e-01,7.200000000000000178e+00
1.187303581099501613e-06,6.540615925058796964e-01,7.300000000000000711e+00
9.692921470852540503e-07,6.493496352908455505e-01,7.400000000000000355e+00
7.610895047516871553e-07,6.446716164733021781e-01,7.500000000000000000e+00
5.756091012134229993e-07,6.400272782536688965e-01,7.600000000000000533e+00
4.216392346007820826e-07,6.354163688104972341e-01,7.700000000000000178e+00
3.046239717517331009e-07,6.308386414831518296e-01,7.800000000000000711e+00
2.266631482119057565e-07,6.262938547718108762e-01,7.900000000000000355e+00
1.865123682345807001e-07,6.217817723374657879e-01,8.000000000000000000e+00
1.795830047806968361e-07,6.173021630019214223e-01,8.099999999999999645e+00
1.979421995188471934e-07,6.128548007477957471e-01,8.200000000000001066e+00
2.303128628252797728e-07,6.084394647185203953e-01,8.300000000000000711e+00
2.620736737838999815e-07,6.040559392183401100e-01,8.400000000000000355e+00
